Wall time,Step,Value
1733849000.3213718,0,9.999999747378752e-06
1733850382.7761803,1,9.999999747378752e-06
1733851786.1839635,2,9.999999747378752e-06
1733853191.2979994,3,9.999999747378752e-06
1733854591.8330648,4,9.999999747378752e-06
1733855994.9417434,5,9.999999747378752e-06
1733857399.3221023,6,6.000000212225132e-06
1733858803.7935755,7,6.000000212225132e-06
1733860207.6909194,8,6.000000212225132e-06
1733861612.712272,9,6.000000212225132e-06
1733863017.1911974,10,6.000000212225132e-06
1733864423.0284777,11,3.5999998999614036e-06
1733865825.5803993,12,3.5999998999614036e-06
1733867229.8545651,13,3.5999998999614036e-06
1733868634.3124907,14,3.5999998999614036e-06
1733870040.977928,15,3.5999998999614036e-06
1733871448.6426241,16,2.159999894502107e-06
1733872855.4677901,17,2.159999894502107e-06
1733874261.3479602,18,2.159999894502107e-06
1733875666.429586,19,2.159999894502107e-06
1733877070.0988383,20,2.159999894502107e-06
1733878473.783361,21,1.296000050388102e-06
1733879877.60229,22,1.296000050388102e-06
1733881285.9629335,23,1.296000050388102e-06
1733882690.9045646,24,1.296000050388102e-06
1733884095.6150544,25,1.296000050388102e-06
