Wall time,Step,Value
1733817379.9373999,0,9.999999747378752e-05
1733817460.5542789,1,9.999999747378752e-05
1733817532.24951,2,7.999999797903001e-05
1733817608.642604,3,7.999999797903001e-05
1733817692.7261796,4,6.399999983841553e-05
1733817782.6419952,5,6.399999983841553e-05
1733817855.3815777,6,5.120000059832819e-05
1733817925.8828766,7,5.120000059832819e-05
1733817997.9809911,8,4.095999975106679e-05
1733818068.870527,9,4.095999975106679e-05
1733818141.38429,10,3.276799907325767e-05
1733818220.3277967,11,3.276799907325767e-05
1733818291.8503718,12,2.6214400349999778e-05
1733818361.9439225,13,2.6214400349999778e-05
1733818434.3850608,14,2.097151991620194e-05
1733818507.3873754,15,2.097151991620194e-05
1733818580.7605739,16,1.6777215932961553e-05
1733818655.6144812,17,1.6777215932961553e-05
1733818730.1696846,18,1.3421772564470302e-05
1733818802.7025387,19,1.3421772564470302e-05
1733818873.264211,20,1.0737418051576242e-05
1733818947.4208658,21,1.0737418051576242e-05
1733819019.8071983,22,8.589934623159934e-06
1733819090.3507082,23,8.589934623159934e-06
1733819160.3170607,24,6.871947789477417e-06
1733819231.4090166,25,6.871947789477417e-06
1733819305.581971,26,5.4975580496829934e-06
1733819380.1934383,27,5.4975580496829934e-06
1733819460.4861667,28,4.398046712594805e-06
1733819532.0117242,29,4.398046712594805e-06
