Wall time,Step,Value
1733817420.4429338,1,1.412786841392517
1733817499.23202,2,1.1969060897827148
1733817574.8943958,3,1.1346352100372314
1733817651.0367062,4,1.1011784076690674
1733817739.8194182,5,1.0568910837173462
1733817822.1401336,6,1.0396392345428467
1733817894.3897252,7,0.9987332820892334
1733817965.2411733,8,0.9471076130867004
1733818035.8089101,9,0.832074761390686
1733818109.505166,10,0.8795543909072876
1733818187.0832672,11,0.8250316381454468
1733818260.3681755,12,0.8792535066604614
1733818330.1094408,13,0.7717460989952087
1733818400.223825,14,0.7004154920578003
1733818473.8404875,15,0.7492235898971558
1733818547.260232,16,0.7435219883918762
1733818622.0367177,17,0.7698445916175842
1733818698.0093038,18,0.7371960282325745
1733818769.0424907,19,0.750822126865387
1733818840.8944125,20,0.6673513054847717
1733818913.6378806,21,0.7087346911430359
1733818986.3667052,22,0.708349347114563
1733819058.7265968,23,0.7007812261581421
1733819128.5119567,24,0.6919019222259521
1733819198.0342233,25,0.7351505756378174
1733819271.886349,26,0.6988005042076111
1733819346.238837,27,0.7142165899276733
1733819419.6368053,28,0.6726856231689453
1733819499.011281,29,0.67879718542099
1733819571.564978,30,0.69767826795578
